Major Category,Major,Year,Degree,Completions
Interdisciplinary Studies,Digital Humanities,2020,Bachelors Degree,0
Interdisciplinary Studies,"Data Analytics, General",2020,Bachelors Degree,0
Interdisciplinary Studies,Other Multidisciplinary Studies,2020,Bachelors Degree,82
"Parks, Recreation, & Leisure","Parks, Recreation, & Leisure Studies",2020,Bachelors Degree,14
"Parks, Recreation, & Leisure","General Parks, Recreation, & Leisure Facilities Management",2020,Bachelors Degree,14
"Parks, Recreation, & Leisure",General Health & Physical Education,2020,Bachelors Degree,0
"Parks, Recreation, & Leisure",Sport & Fitness Management,2020,Bachelors Degree,128
"Parks, Recreation, & Leisure",Kinesiology & Exercise Science,2020,Bachelors Degree,156
Philosophy and Religious Studies,General Philosophy & Religious Studies,2020,Bachelors Degree,9
Philosophy and Religious Studies,Philosophy,2020,Bachelors Degree,383
Philosophy and Religious Studies,Other Philosophy,2020,Bachelors Degree,7
Philosophy and Religious Studies,Religious Studies,2020,Bachelors Degree,72
Philosophy and Religious Studies,Judaic Studies,2020,Bachelors Degree,66
Philosophy and Religious Studies,Talmudic Studies,2020,Bachelors Degree,1081
Philosophy and Religious Studies,Other Philosophy & Religious Studies,2020,Bachelors Degree,16
Theology,Religious Education,2020,Bachelors Degree,21
Theology,Religious & Sacred Music,2020,Bachelors Degree,0
Theology,Theological Studies,2020,Bachelors Degree,131
Theology,Other Theological & Ministerial Studies,2020,Bachelors Degree,0
Physical Sciences,Physical Sciences,2020,Bachelors Degree,58
Physical Sciences,Astronomy,2020,Bachelors Degree,3
Physical Sciences,Astrophysics,2020,Bachelors Degree,11
Physical Sciences,Meteorology,2020,Bachelors Degree,0
Physical Sciences,General Chemistry,2020,Bachelors Degree,375
Physical Sciences,Chemical Physics,2020,Bachelors Degree,0
Physical Sciences,Other Chemistry,2020,Bachelors Degree,0
Physical Sciences,General Geology & Earch Science,2020,Bachelors Degree,75
Physical Sciences,Chemical & Physical Oceanography,2020,Bachelors Degree,0
Physical Sciences,General Physics,2020,Bachelors Degree,155
Physical Sciences,Acoustics,2020,Bachelors Degree,40
Physical Sciences,Materials Science,2020,Bachelors Degree,5
Physical Sciences,Other Physical Sciences,2020,Bachelors Degree,0
Science Technologies,Chemical Technology,2020,Bachelors Degree,0
Science Technologies,Other Science Technologies,2020,Bachelors Degree,0
Psychology,General Psychology,2020,Bachelors Degree,4243
Psychology,Personality Psychology,2020,Bachelors Degree,2
Psychology,Physiological Psychology & Psychobiology,2020,Bachelors Degree,5
Psychology,Other Research & Experimental Psychology,2020,Bachelors Degree,632
Psychology,Industrial & Organizational Psychology,2020,Bachelors Degree,20
Psychology,Forensic Psychology,2020,Bachelors Degree,481
Psychology,Applied Psychology,2020,Bachelors Degree,40
Protective Services,Corrections,2020,Bachelors Degree,0
Protective Services,General Law ,2020,Bachelors Degree,1776
Protective Services,Criminal Justice - Safety Studies,2020,Bachelors Degree,22
Protective Services,Criminal Justice - Police Science,2020,Bachelors Degree,251
Protective Services,Securities Services Management,2020,Bachelors Degree,101
Protective Services,Other Corrections & Criminal Justice,2020,Bachelors Degree,96
Protective Services,Fire Services Administration,2020,Bachelors Degree,23
Protective Services,Fire Science & Fire-Fighting,2020,Bachelors Degree,10
Protective Services,Financial Forensics And Fraud Investigation,2020,Bachelors Degree,100
Protective Services,Forensic Science And Technology,2020,Bachelors Degree,67
Public Administration and Social Service,General Human Services,2020,Bachelors Degree,333
Public Administration and Social Service,Community Organization & Advocacy,2020,Bachelors Degree,50
Public Administration and Social Service,Public Administration,2020,Bachelors Degree,161
Public Administration and Social Service,General Public Policy Analysis,2020,Bachelors Degree,1
Public Administration and Social Service,International Policy Analysis,2020,Bachelors Degree,18
Public Administration and Social Service,Social Work,2020,Bachelors Degree,428
Public Administration and Social Service,Other Public Administration & Social Service Professions,2020,Bachelors Degree,9
Social Sciences,General Social Sciences,2020,Bachelors Degree,192
Social Sciences,Anthropology,2020,Bachelors Degree,300
Social Sciences,Cultural Anthropology,2020,Bachelors Degree,12
Social Sciences,Archeology,2020,Bachelors Degree,9
Social Sciences,Criminology,2020,Bachelors Degree,230
Social Sciences,General Economics,2020,Bachelors Degree,1141
Social Sciences,Econometrics & Quantitative Economics,2020,Bachelors Degree,923
Social Sciences,Developmental Economics & International Development,2020,Bachelors Degree,0
Social Sciences,Other Economics,2020,Bachelors Degree,14
Social Sciences,Geography,2020,Bachelors Degree,23
Social Sciences,International Relations & Affairs,2020,Bachelors Degree,204
Social Sciences,Political Science,2020,Bachelors Degree,1548
Social Sciences,Sociology,2020,Bachelors Degree,1191
Social Sciences,Urban Studies,2020,Bachelors Degree,173
Social Sciences,Sociology & Anthropology,2020,Bachelors Degree,81
Social Sciences,Other Social Sciences,2020,Bachelors Degree,250
Transportation,Airway Management & Operations,2020,Bachelors Degree,83
Transportation,Marine Science & Merchant Marine Officer,2020,Bachelors Degree,110
Visual & Performing Arts,General Visual & Performing Arts,2020,Bachelors Degree,19
Visual & Performing Arts,Digital Arts,2020,Bachelors Degree,56
Visual & Performing Arts,General Dance,2020,Bachelors Degree,159
Visual & Performing Arts,Ballet,2020,Bachelors Degree,14
Visual & Performing Arts,Other Dance,2020,Bachelors Degree,25
Visual & Performing Arts,General Design & Visual Communications,2020,Bachelors Degree,193
Visual & Performing Arts,Commercial & Advertising Art,2020,Bachelors Degree,64
Visual & Performing Arts,Industrial & Product Design,2020,Bachelors Degree,163
Visual & Performing Arts,Commercial Photography,2020,Bachelors Degree,42
Visual & Performing Arts,Fashion & Apparel Design,2020,Bachelors Degree,551
Visual & Performing Arts,Interior Design,2020,Bachelors Degree,190
Visual & Performing Arts,Graphic Design,2020,Bachelors Degree,250
Visual & Performing Arts,Illustration,2020,Bachelors Degree,400
Visual & Performing Arts,Other Design & Applied Arts,2020,Bachelors Degree,86
Visual & Performing Arts,General Drama & Theater Arts,2020,Bachelors Degree,632
Visual & Performing Arts,Technical Theatre Design & Technology,2020,Bachelors Degree,49
Visual & Performing Arts,Playwriting & Screenwriting,2020,Bachelors Degree,69
Visual & Performing Arts,"Theatre Literature, History, & Criticism",2020,Bachelors Degree,5
Visual & Performing Arts,Acting,2020,Bachelors Degree,136
Visual & Performing Arts,Directing & Theatrical Production,2020,Bachelors Degree,32
Visual & Performing Arts,Musical Theatre,2020,Bachelors Degree,101
Visual & Performing Arts,Costume Design,2020,Bachelors Degree,4
Visual & Performing Arts,Other Dramatic Arts & Stagecraft,2020,Bachelors Degree,223
Visual & Performing Arts,"Film, Cinema, & Video Studies",2020,Bachelors Degree,209
Visual & Performing Arts,Cinematography & Film Production,2020,Bachelors Degree,658
Visual & Performing Arts,Photography,2020,Bachelors Degree,222
Visual & Performing Arts,Other Film & Photographic Arts,2020,Bachelors Degree,81
Visual & Performing Arts,General Art Studies,2020,Bachelors Degree,50
Visual & Performing Arts,General Fine Studio Arts,2020,Bachelors Degree,647
Visual & Performing Arts,"Art History, Criticism, & Conservation",2020,Bachelors Degree,203
Visual & Performing Arts,Drawing,2020,Bachelors Degree,16
Visual & Performing Arts,Painting,2020,Bachelors Degree,45
Visual & Performing Arts,Sculpture,2020,Bachelors Degree,17
Visual & Performing Arts,Printmaking,2020,Bachelors Degree,11
Visual & Performing Arts,Ceramic Arts & Ceramics,2020,Bachelors Degree,0
Visual & Performing Arts,Other Fine Arts & Art Studies,2020,Bachelors Degree,36
Visual & Performing Arts,General Music,2020,Bachelors Degree,92
Visual & Performing Arts,"Music History, Literature, & Theory",2020,Bachelors Degree,13
Visual & Performing Arts,General Music Performance,2020,Bachelors Degree,146
Visual & Performing Arts,Music Theory & Composition,2020,Bachelors Degree,24
Visual & Performing Arts,Conducting,2020,Bachelors Degree,0
Visual & Performing Arts,Keyboard Instruments,2020,Bachelors Degree,54
Visual & Performing Arts,Voice & Opera,2020,Bachelors Degree,37
Visual & Performing Arts,Jazz & Jazz Studies,2020,Bachelors Degree,77
Visual & Performing Arts,Stringed Instruments,2020,Bachelors Degree,58
Visual & Performing Arts,Music Technology,2020,Bachelors Degree,11
Visual & Performing Arts,Brass Instruments,2020,Bachelors Degree,18
Visual & Performing Arts,Woodwind Instruments,2020,Bachelors Degree,15
Visual & Performing Arts,Percussion Instruments,2020,Bachelors Degree,5
Visual & Performing Arts,Fine & Studio Arts Management,2020,Bachelors Degree,204
Visual & Performing Arts,Theatre Arts Management,2020,Bachelors Degree,86
Visual & Performing Arts,Other Visual & Performing Arts,2020,Bachelors Degree,177
Health,General Health Services,2020,Bachelors Degree,457
Health,General Health & Wellness,2020,Bachelors Degree,0
Health,General Communication Sciences & Disorders,2020,Bachelors Degree,93
Health,Audiology,2020,Bachelors Degree,0
Health,Speech-Language Pathology,2020,Bachelors Degree,0
Health,Audiology & Speech-Language Pathology,2020,Bachelors Degree,318
Health,Dental Hygiene,2020,Bachelors Degree,17
Health,Health Care Administration & Management,2020,Bachelors Degree,147
Health,Hospital & Health Care Facilities Management,2020,Bachelors Degree,419
Health,Health Information & Medical Records Administration,2020,Bachelors Degree,52
Health,Health Information & Medical Records Technology,2020,Bachelors Degree,4
Health,Other Allied Health & Medical Assisting Services,2020,Bachelors Degree,0
Health,Nuclear Medical Technologist,2020,Bachelors Degree,6
Health,Radiation Therapist,2020,Bachelors Degree,51
Health,Radiographer,2020,Bachelors Degree,24
Health,Physician Assistant,2020,Bachelors Degree,73
Health,"Other Allied Health Diagnostic, Intervention, & Treatment Professions",2020,Bachelors Degree,16
Health,Clinical Laboratory Technologist,2020,Bachelors Degree,85
Health,Pre-Optometry Studies,2020,Bachelors Degree,1
Health,Pharmaceutical Sciences,2020,Bachelors Degree,0
Health,General Public Health,2020,Bachelors Degree,96
Health,Environmental Health,2020,Bachelors Degree,4
Health,Public Health Education & Promotion,2020,Bachelors Degree,118
Health,Community Health & Preventative Medicine,2020,Bachelors Degree,54
Health,Health Services Administration,2020,Bachelors Degree,120
Health,Behavioral Aspects of Health,2020,Bachelors Degree,54
Health,Occupational Therapy,2020,Bachelors Degree,0
Health,Physical Therapy,2020,Bachelors Degree,0
Health,Therapeutic Recreation Therapy,2020,Bachelors Degree,40
Health,Dietetics,2020,Bachelors Degree,140
Health,Others Dietetics & Clinical Nutrition Services,2020,Bachelors Degree,103
Health,Movement Therapy & Movement Education,2020,Bachelors Degree,12
Health,Registered Nursing,2020,Bachelors Degree,2162
Health,Geriatric Nurse,2020,Bachelors Degree,0
Health,"Other Registered Nursing, Nursing Administration, Nursing Research, & Clinical Nursing",2020,Bachelors Degree,14
Health,Other Health Professions & Related Clinical Sciences,2020,Bachelors Degree,98
Business,General Business,2020,Bachelors Degree,855
Business,General Business Admin & Mgt,2020,Bachelors Degree,2463
Business,"Non-Profit, Public, & Organizational Management",2020,Bachelors Degree,9
Business,Retail Management,2020,Bachelors Degree,1
Business,Organizational Leadership,2020,Bachelors Degree,47
Business,"Other Business Administration, Management, & Operations",2020,Bachelors Degree,139
Business,Accounting,2020,Bachelors Degree,2426
Business,Accounting & Finance,2020,Bachelors Degree,35
Business,General Administrative Assistant & Secretarial Science,2020,Bachelors Degree,0
Business,Business & Corporate Communications,2020,Bachelors Degree,317
Business,Business & Managerial Economics,2020,Bachelors Degree,101
Business,Entrepreneurial Studies,2020,Bachelors Degree,83
Business,Other Small Business & Entrepreneurial Operations,2020,Bachelors Degree,21
Business,General Finance,2020,Bachelors Degree,1682
Business,Financial Planning & Services,2020,Bachelors Degree,12
Business,Investments & Securities,2020,Bachelors Degree,0
Business,General Hospitality Management,2020,Bachelors Degree,312
Business,Hotel Administration & Management,2020,Bachelors Degree,69
Business,General Human Resources Management & Personnel Administration,2020,Bachelors Degree,26
Business,Labor Studies,2020,Bachelors Degree,10
Business,"International Business, Trade, & Commerce",2020,Bachelors Degree,216
Business,General Management Information Systems,2020,Bachelors Degree,1
Business,Other Management Information Systems & Services,2020,Bachelors Degree,0
Business,Management Science,2020,Bachelors Degree,230
Business,Business Statistics,2020,Bachelors Degree,92
Business,Actuarial Science,2020,Bachelors Degree,64
Business,Other Management Sciences & Quantitative Methods,2020,Bachelors Degree,14
Business,General Marketing & Marketing Management,2020,Bachelors Degree,479
Business,International Marketing,2020,Bachelors Degree,185
Business,Digital Marketing,2020,Bachelors Degree,18
Business,Real Estate,2020,Bachelors Degree,106
Business,Insurance,2020,Bachelors Degree,58
Business,"General Sales, Distribution, & Marketing Operations",2020,Bachelors Degree,442
Business,Fashion Merchandising,2020,Bachelors Degree,715
Business,Special Products Marketing Operations,2020,Bachelors Degree,16
Business,"Other Specialized Merchandising, Sales, & Marketing Operations",2020,Bachelors Degree,46
Business,"Other Business, Management, Marketing, & Related Support Services",2020,Bachelors Degree,161
History,General History,2020,Bachelors Degree,745
History,History & Philosophy of Science & Technology,2020,Bachelors Degree,19
Communication Technologies,Communications Technology,2019,Bachelors Degree,18
Communication Technologies,Photographic & Video Technology,2019,Bachelors Degree,39
Communication Technologies,Prepress Publising & Digital Imaging Design,2019,Bachelors Degree,0
Communication Technologies,"Animation, Interactive Technology, Video Graphics, & Special Effects",2019,Bachelors Degree,190
Computer and Information Sciences and Support Services,General Computer & Information Sciences,2019,Bachelors Degree,905
Computer and Information Sciences and Support Services,Information Technology,2019,Bachelors Degree,74
Computer and Information Sciences and Support Services,Other Computer & Information Sciences,2019,Bachelors Degree,6
Computer and Information Sciences and Support Services,Information Science,2019,Bachelors Degree,655
Computer and Information Sciences and Support Services,Computer Systems Analysis,2019,Bachelors Degree,27
Computer and Information Sciences and Support Services,Computer Science,2019,Bachelors Degree,977
Computer and Information Sciences and Support Services,"Web Page, Digital, & Information Resource Design",2019,Bachelors Degree,386
Computer and Information Sciences and Support Services,Computer Graphics,2019,Bachelors Degree,77
Computer and Information Sciences and Support Services,Other Computer Software & Media Applications,2019,Bachelors Degree,32
Computer and Information Sciences and Support Services,Computer Systems Networking & Telecommunications,2019,Bachelors Degree,21
Computer and Information Sciences and Support Services,Network & System Administration,2019,Bachelors Degree,20
Computer and Information Sciences and Support Services,Computer & Information Systems Security,2019,Bachelors Degree,103
Computer and Information Sciences and Support Services,Web Multimedia Management & Webmaster,2019,Bachelors Degree,0
Computer and Information Sciences and Support Services,Information Technology Project Management,2019,Bachelors Degree,38
Computer and Information Sciences and Support Services,Other Computer & Information Technology Services Management,2019,Bachelors Degree,42
Computer and Information Sciences and Support Services,Other Computer & Information Support Services,2019,Bachelors Degree,7
Education,General Education,2019,Bachelors Degree,22
Education,Bilingual & Multilingual Education,2019,Bachelors Degree,32
Education,General Special Education & Teaching,2019,Bachelors Degree,37
Education,Education of Individuals with Speech or Language Impairments,2019,Bachelors Degree,0
Education,Education of Individuals in Early Childhood Special Education Programs,2019,Bachelors Degree,16
Education,Education of Individuals in Elementary Special Education Programs,2019,Bachelors Degree,12
Education,Education of Individuals in Middle School Special Education Programs,2019,Bachelors Degree,0
Education,Elementary Education & Teaching,2019,Bachelors Degree,572
Education,Middle School Education & Teaching,2019,Bachelors Degree,0
Education,Secondary Education & Teaching,2019,Bachelors Degree,10
Education,Early Childhood Education & Teaching,2019,Bachelors Degree,160
Education,Art Teacher Education,2019,Bachelors Degree,18
Education,Business Teacher Education,2019,Bachelors Degree,0
Education,English & Language Arts Teacher Education,2019,Bachelors Degree,86
Education,Foreign Language Teacher Education,2019,Bachelors Degree,3
Education,Health Teacher Education,2019,Bachelors Degree,1
Education,Family & Consumer Sciences Teacher Education,2019,Bachelors Degree,2
Education,Technology & Industrial Arts Teacher Education,2019,Bachelors Degree,10
Education,Mathematics Teacher Education,2019,Bachelors Degree,68
Education,Music Teacher Education,2019,Bachelors Degree,19
Education,Physical Education Teaching & Coaching,2019,Bachelors Degree,84
Education,General Science Teacher Education,2019,Bachelors Degree,1
Education,Social Studies Teacher Education,2019,Bachelors Degree,73
Education,Trade & Industrial Teacher Education,2019,Bachelors Degree,0
Education,Biology Teacher Education,2019,Bachelors Degree,9
Education,Chemistry Teacher Education,2019,Bachelors Degree,3
Education,Drama & Dance Teacher Education,2019,Bachelors Degree,6
Education,French Language Teacher Education,2019,Bachelors Degree,0
Education,German Language Teacher Education,2019,Bachelors Degree,0
Education,History Teacher Education,2019,Bachelors Degree,14
Education,Physics Teacher Education,2019,Bachelors Degree,2
Education,Spanish Language Teacher Education,2019,Bachelors Degree,22
Education,Speech Teacher Education,2019,Bachelors Degree,0
Education,Latin Teacher Education,2019,Bachelors Degree,0
Education,Earth Science Teacher Education,2019,Bachelors Degree,2
Education,Other Teacher Education & Professional Development,2019,Bachelors Degree,0
Education,Teaching English as a Second or Foreign Language Instructor,2019,Bachelors Degree,26
Education,Other Education,2019,Bachelors Degree,0
Engineering,General Engineering,2019,Bachelors Degree,30
Engineering,Pre-Engineering,2019,Bachelors Degree,1
Engineering,Bioengineering & Biomedical Engineering,2019,Bachelors Degree,82
Engineering,Chemical Engineering,2019,Bachelors Degree,241
Engineering,General Civil Engineering,2019,Bachelors Degree,256
Engineering,General Computer Engineering,2019,Bachelors Degree,128
Engineering,Electrical & Electronics Engineering,2019,Bachelors Degree,287
Engineering,Engineering Mechanics,2019,Bachelors Degree,1
Engineering,Engineering Physics & Applied Physics,2019,Bachelors Degree,28
Engineering,Environmental Health Engineering,2019,Bachelors Degree,36
Engineering,Mechanical Engineering,2019,Bachelors Degree,503
Engineering,Metallurgical Engineering,2019,Bachelors Degree,0
Engineering,Mining & Mineral Engineering,2019,Bachelors Degree,0
Engineering,Naval Architecture & Marine Engineering,2019,Bachelors Degree,37
Engineering,Construction Engineering,2019,Bachelors Degree,8
Engineering,Industrial Engineering,2019,Bachelors Degree,24
Engineering,Operations Research,2019,Bachelors Degree,74
Engineering,Other Engineering,2019,Bachelors Degree,0
Engineering Technologies,"Electrical, Electronic, & Communications Engineering Technology",2019,Bachelors Degree,41
Engineering Technologies,Telecommunications Technology,2019,Bachelors Degree,40
Engineering Technologies,Other Electrical Engineering Technology,2019,Bachelors Degree,8
Engineering Technologies,Biomedical Technology,2019,Bachelors Degree,4
Engineering Technologies,Electromechanical Technology,2019,Bachelors Degree,0
Engineering Technologies,Mechanical Engineering Technology,2019,Bachelors Degree,107
Engineering Technologies,Construction Engineering Technology,2019,Bachelors Degree,61
Engineering Technologies,Computer Engineering Technology,2019,Bachelors Degree,102
Engineering Technologies,Engineering & Industrial Management,2019,Bachelors Degree,32
Engineering Technologies,Other Engineering Technologies & Engineering-Related Fields,2019,Bachelors Degree,0
Language & Linguistics,General Foreign Languages & Literatures,2019,Bachelors Degree,11
Language & Linguistics,Linguistics,2019,Bachelors Degree,69
Language & Linguistics,Comparative Literature,2019,Bachelors Degree,55
Language & Linguistics,Chinese Language & Literature,2019,Bachelors Degree,47
Language & Linguistics,"General Slavic Languages, Literatures, & Linguistics",2019,Bachelors Degree,11
Language & Linguistics,Russian Language & Literature,2019,Bachelors Degree,13
Language & Linguistics,"General Germanic Languages, Literatures, & Linguistics",2019,Bachelors Degree,2
Language & Linguistics,German Language & Literature,2019,Bachelors Degree,22
Language & Linguistics,"Other Germanic Languages, Literatures, & Linguistics",2019,Bachelors Degree,0
Language & Linguistics,"General Romance Languages, Literatures, & Linguistics",2019,Bachelors Degree,27
Language & Linguistics,French Language & Literature,2019,Bachelors Degree,78
Language & Linguistics,Italian Language & Literature,2019,Bachelors Degree,14
Language & Linguistics,Portuguese Language & Literature,2019,Bachelors Degree,0
Language & Linguistics,Spanish Language & Literature,2019,Bachelors Degree,173
Language & Linguistics,"General Hispanic & Latin American Languages, Literatures, & Linguistics",2019,Bachelors Degree,1
Language & Linguistics,Arabic Language & Literature,2019,Bachelors Degree,0
Language & Linguistics,Hebrew Language & Literature,2019,Bachelors Degree,4
Language & Linguistics,"Other Middle/Near Eastern & Semetic Languages, Literatures, & Linguistics",2019,Bachelors Degree,23
Language & Linguistics,"General Classical Language, Literature, & Linguistics",2019,Bachelors Degree,40
Language & Linguistics,Ancient/Classical Greek Language & Literature,2019,Bachelors Degree,2
Language & Linguistics,Latin Language & Literature,2019,Bachelors Degree,1
Language & Linguistics,"Other Classical Languages, Literature, & Linguistics",2019,Bachelors Degree,0
Language & Linguistics,"Other Foreign Languages, Literatures, & Linguistics",2019,Bachelors Degree,0
Human Sciences,General Family & Consumer Sciences,2019,Bachelors Degree,43
Human Sciences,"General Food, Nutrition, & Wellness Studies",2019,Bachelors Degree,52
Human Sciences,Facilities Planning & Management,2019,Bachelors Degree,22
Human Sciences,General Human Development & Family Studies,2019,Bachelors Degree,4
Human Sciences,Apparel & Textile Manufacture,2019,Bachelors Degree,74
Legal,General Legal Studies,2019,Bachelors Degree,281
Legal,Pre-Law Studies,2019,Bachelors Degree,0
Legal,Paralegal,2019,Bachelors Degree,45
Legal,Other Legal Professions & Studies,2019,Bachelors Degree,33
English,General English Language & Literature,2019,Bachelors Degree,1302
English,Creative Writing,2019,Bachelors Degree,83
English,"Professional, Technical, Business, & Scientific Writing",2019,Bachelors Degree,26
English,Rhetoric & Composition,2019,Bachelors Degree,1
English,General Literature,2019,Bachelors Degree,62
English,British & Commonwealth English Literature,2019,Bachelors Degree,148
English,Other Literature,2019,Bachelors Degree,1
Liberal Arts & Humanities,Liberal Arts & Sciences,2019,Bachelors Degree,1007
Liberal Arts & Humanities,General Studies,2019,Bachelors Degree,1
Liberal Arts & Humanities,Humanistic Studies,2019,Bachelors Degree,85
Liberal Arts & Humanities,"Other Liberal Arts & Sciences, General Studies, & Humanities",2019,Bachelors Degree,40
Biology,General Biological Sciences,2019,Bachelors Degree,1676
Biology,General Biomedical Sciences,2019,Bachelors Degree,86
Biology,Biochemistry,2019,Bachelors Degree,107
Biology,Biophysics,2019,Bachelors Degree,3
Biology,Molecular Biology,2019,Bachelors Degree,1
Biology,Biochemistry & Molecular Biology,2019,Bachelors Degree,22
Biology,Cellular & Molecular Biology,2019,Bachelors Degree,38
Biology,Cell Biology & Anatomy,2019,Bachelors Degree,3
Biology,General Microbiology,2019,Bachelors Degree,8
Biology,Cell Physiology,2019,Bachelors Degree,3
Biology,Pharmacology,2019,Bachelors Degree,13
Biology,Toxicology,2019,Bachelors Degree,20
Biology,Bioinformatics,2019,Bachelors Degree,50
Biology,Biotechnology,2019,Bachelors Degree,8
Biology,Ecology,2019,Bachelors Degree,52
Biology,Environmental Biology,2019,Bachelors Degree,2
Biology,Ecology & Evolutionary Biology,2019,Bachelors Degree,2
Biology,Neuroscience,2019,Bachelors Degree,164
Biology,Other Biological & Biomedical Sciences,2019,Bachelors Degree,0
Math & Statistics,General Mathematics,2019,Bachelors Degree,536
Math & Statistics,Other Mathematics,2019,Bachelors Degree,6
Math & Statistics,General Applied Mathematics,2019,Bachelors Degree,96
Math & Statistics,Computational & Applied Mathematics,2019,Bachelors Degree,9
Math & Statistics,Financial Mathematics,2019,Bachelors Degree,15
Math & Statistics,Other Applied Mathematics,2019,Bachelors Degree,0
Math & Statistics,General Statistics,2019,Bachelors Degree,58
Math & Statistics,Other Mathematics & Statistics,2019,Bachelors Degree,94
Interdisciplinary Studies,General Interdisciplinary Studies,2019,Bachelors Degree,234
Interdisciplinary Studies,Biological & Physical Sciences,2019,Bachelors Degree,115
Interdisciplinary Studies,Peace Studies & Conflict Resolution,2019,Bachelors Degree,9
Interdisciplinary Studies,Mathematics & Computer Science,2019,Bachelors Degree,20
Interdisciplinary Studies,Biopsychology,2019,Bachelors Degree,12
Interdisciplinary Studies,Gerontology,2019,Bachelors Degree,9
Interdisciplinary Studies,Medieval & Renaissance Studies,2019,Bachelors Degree,4
Interdisciplinary Studies,Natural Sciences,2019,Bachelors Degree,0
Interdisciplinary Studies,Nutrition Sciences,2019,Bachelors Degree,46
Interdisciplinary Studies,International & Global Studies,2019,Bachelors Degree,52
Interdisciplinary Studies,Ancient Civilization Studies,2019,Bachelors Degree,12
Interdisciplinary Studies,"Cultural Studies, Critical Theory, & Analysis",2019,Bachelors Degree,11
Interdisciplinary Studies,Human Biology,2019,Bachelors Degree,237
Interdisciplinary Studies,Computational Science,2019,Bachelors Degree,0
Interdisciplinary Studies,Sustainability Studies,2019,Bachelors Degree,75
Interdisciplinary Studies,Other Multidisciplinary Studies,2019,Bachelors Degree,89
"Parks, Recreation, & Leisure","Parks, Recreation, & Leisure Studies",2019,Bachelors Degree,16
"Parks, Recreation, & Leisure","General Parks, Recreation, & Leisure Facilities Management",2019,Bachelors Degree,3
"Parks, Recreation, & Leisure",General Health & Physical Education,2019,Bachelors Degree,0
"Parks, Recreation, & Leisure",Sport & Fitness Management,2019,Bachelors Degree,107
"Parks, Recreation, & Leisure",Kinesiology & Exercise Science,2019,Bachelors Degree,177
Philosophy and Religious Studies,General Philosophy & Religious Studies,2019,Bachelors Degree,2
Philosophy and Religious Studies,Philosophy,2019,Bachelors Degree,359
Philosophy and Religious Studies,Other Philosophy,2019,Bachelors Degree,4
Philosophy and Religious Studies,Religious Studies,2019,Bachelors Degree,62
Philosophy and Religious Studies,Judaic Studies,2019,Bachelors Degree,65
Philosophy and Religious Studies,Other Philosophy & Religious Studies,2019,Bachelors Degree,11
Theology,Religious Education,2019,Bachelors Degree,17
Theology,Religious & Sacred Music,2019,Bachelors Degree,0
Theology,Theological Studies,2019,Bachelors Degree,110
Theology,Talmudic Studies,2019,Bachelors Degree,965
Theology,Other Theological & Ministerial Studies,2019,Bachelors Degree,0
Physical Sciences,Physical Sciences,2019,Bachelors Degree,61
Physical Sciences,Astronomy,2019,Bachelors Degree,3
Physical Sciences,Astrophysics,2019,Bachelors Degree,10
Physical Sciences,General Atmospheric Sciences & Meteorology,2019,Bachelors Degree,15
Physical Sciences,Meteorology,2019,Bachelors Degree,0
Physical Sciences,General Chemistry,2019,Bachelors Degree,406
Physical Sciences,Chemical Physics,2019,Bachelors Degree,0
Physical Sciences,Other Chemistry,2019,Bachelors Degree,0
Physical Sciences,General Geology & Earch Science,2019,Bachelors Degree,80
Physical Sciences,Chemical & Physical Oceanography,2019,Bachelors Degree,0
Physical Sciences,General Physics,2019,Bachelors Degree,131
Physical Sciences,Acoustics,2019,Bachelors Degree,6
Physical Sciences,Materials Science,2019,Bachelors Degree,7
Physical Sciences,Other Physical Sciences,2019,Bachelors Degree,0
Science Technologies,Chemical Technology,2019,Bachelors Degree,0
Science Technologies,Other Science Technologies,2019,Bachelors Degree,0
Psychology,General Psychology,2019,Bachelors Degree,4485
Psychology,Personality Psychology,2019,Bachelors Degree,1
Psychology,Physiological Psychology & Psychobiology,2019,Bachelors Degree,7
Psychology,Other Research & Experimental Psychology,2019,Bachelors Degree,204
Psychology,Clinical Psychology,2019,Bachelors Degree,10
Psychology,Industrial & Organizational Psychology,2019,Bachelors Degree,18
Psychology,Forensic Psychology,2019,Bachelors Degree,446
Psychology,Applied Psychology,2019,Bachelors Degree,133
Protective Services,Corrections,2019,Bachelors Degree,0
Protective Services,General Law ,2019,Bachelors Degree,1907
Protective Services,Criminal Justice - Safety Studies,2019,Bachelors Degree,35
Protective Services,Forensic Science & Technology,2019,Bachelors Degree,60
Protective Services,Securities Services Management,2019,Bachelors Degree,91
Protective Services,Financial Forensics & Fraud Investigation,2019,Bachelors Degree,109
Protective Services,Other Corrections & Criminal Justice,2019,Bachelors Degree,96
Protective Services,Fire Services Administration,2019,Bachelors Degree,22
Protective Services,Fire Science & Fire-Fighting,2019,Bachelors Degree,12
Public Administration and Social Service,General Human Services,2019,Bachelors Degree,315
Public Administration and Social Service,Community Organization & Advocacy,2019,Bachelors Degree,64
Public Administration and Social Service,Public Administration,2019,Bachelors Degree,186
Public Administration and Social Service,General Public Policy Analysis,2019,Bachelors Degree,4
Public Administration and Social Service,International Policy Analysis,2019,Bachelors Degree,14
Public Administration and Social Service,Social Work,2019,Bachelors Degree,387
Public Administration and Social Service,Other Public Administration & Social Service Professions,2019,Bachelors Degree,13
